Unnamed: 0,Kanji,Onyomi,Kunyomi,Kanji Meaning,JLPT
0,日,"nichi, jitsuニチ, ジツ","hi, -bi, -kaひ, -び, -か","day, sun, Japan, counter for days",N5
1,一,ichiイチ,hito(tsu)ひと(つ),one,N5
2,国,kokuコク,kuniくに,country,N5
3,会,kaiカイ,a(u)あ(う),meeting; meet,N4
4,人,"jin, ninジン、 ニン",hitoひと,person,N5
5,年,nenネン,toshiとし,"year, counter for years",N5
6,大,"dai, taiダイ、 タイ",oo(kii)おお(きい),"large, big",N5
7,十,juuジュウ,"tou, toとお、 と","ten, 10",N5
8,二,"ni, jiニ、 ジ",futa(tsu)ふた(つ),"two, 2",N5
9,本,honホン,motoもと,"book, present, true, counter for long cylindrical things",N5
10,中,chuuチュウ,"naka, uchi, ata(ru)なか、 うち、 あた(る)","in, inside, middle, mean, center",N5
11,長,chouチョウ,"naga(i), osaなが(い)、 おさ","long, leader, superior, senior",N5
12,出,"shutsu, suiシュツ、 スイ","de(ru), da(su), i(deru)で(る)、 だ(す)、 い(でる)","exit, leave, go out",N5
13,三,sanサン,mi(tsu)み(つ),"three, 3",N5
14,同,douドウ,onajiおな(じ),"same, agree, equal",N4
15,時,jiジ,"toki, dokiとき、 -どき","time, hour",N5
16,政,seiセイ,matsurigotoまつりごと,"politics, government",N3
17,事,jiジ,kotoこと,"matter, thing, fact, business, reason, possibly",N4
18,自,"ji, shiジ、 シ",mizuka(ra)みずか(ら),oneself,N4
19,行,"kou, gyou, anコウ、 ギョウ、 アン","i(ku), yu(ku), okona(u)い(く)、 ゆ(く)、 おこな(う)","going, journey, carry out, line, row",N5
20,社,shaシャ,yashiroやしろ,"company, firm, office, association, shrine",N4
21,月,"getsu, gatsuゲツ、 ガツ",tsukiつき,"month, moon",N5
22,分,"bun, fun, buブン、 フン、 ブ",wa(keru)わ(ける),"part, minute of time, understand",N5
23,議,giギ,,"deliberation, consultation, debate",N3
24,後,"go, kouゴ、 コウ","nochi, ushi(ro), atoのち、 うし(ろ)、 あと","behind, back, later",N5
25,前,zenゼン,maeまえ,"in front, before",N5
26,民,minミン,tamiたみ,"people, nation, subjects",N3
27,生,"sei, shouセイ、 ショウ","i(kiru), u(mu), o(u), ha(eru), namaい(きる)、 う(む)、 お(う)、 は(える)、 なま","life, genuine, birth",N5
28,連,renレン,"tsura(naru), tsu(reru)つら(なる)、つ(れる)","take along, lead, join, connect",N3
29,五,goゴ,itsu(tsu)いつ(つ),"five, 5",N5
30,発,"hatsu, hotsuハツ、 ホツ",,"departure, discharge, emit, start from",N4
31,間,"kan, kenカン、 ケン","aida, ma, aiあいだ、 ま、 あい","interval, space",N5
32,上,"jou, shou, shanジョウ、 ショウ、 シャン","ue, uwa, kami, a(geru), nobo(ru), tatematsu(ru)うえ、 うわ-、 かみ、 あ(げる)、 のぼ(る)、 たてまつ(る)","above, up",N5
