Kanji,Onyomi,Kunyomi,Kanji Meaning,JLPT
日,"nichi, jitsuニチ, ジツ","hi, -bi, -kaひ, -び, -か","day, sun, Japan, counter for days",N5
一,ichiイチ,hito(tsu)ひと(つ),one,N5
国,kokuコク,kuniくに,country,N5
会,kaiカイ,a(u)あ(う),meeting; meet,N4
人,"jin, ninジン、 ニン",hitoひと,person,N5
年,nenネン,toshiとし,"year, counter for years",N5
大,"dai, taiダイ、 タイ",oo(kii)おお(きい),"large, big",N5
十,juuジュウ,"tou, toとお、 と","ten, 10",N5
二,"ni, jiニ、 ジ",futa(tsu)ふた(つ),"two, 2",N5
本,honホン,motoもと,"book, present, true, counter for long cylindrical things",N5
中,chuuチュウ,"naka, uchi, ata(ru)なか、 うち、 あた(る)","in, inside, middle, mean, center",N5
長,chouチョウ,"naga(i), osaなが(い)、 おさ","long, leader, superior, senior",N5
出,"shutsu, suiシュツ、 スイ","de(ru), da(su), i(deru)で(る)、 だ(す)、 い(でる)","exit, leave, go out",N5
三,sanサン,mi(tsu)み(つ),"three, 3",N5
同,douドウ,onajiおな(じ),"same, agree, equal",N4
時,jiジ,"toki, dokiとき、 -どき","time, hour",N5
政,seiセイ,matsurigotoまつりごと,"politics, government",N3
事,jiジ,kotoこと,"matter, thing, fact, business, reason, possibly",N4
自,"ji, shiジ、 シ",mizuka(ra)みずか(ら),oneself,N4
行,"kou, gyou, anコウ、 ギョウ、 アン","i(ku), yu(ku), okona(u)い(く)、 ゆ(く)、 おこな(う)","going, journey, carry out, line, row",N5
社,shaシャ,yashiroやしろ,"company, firm, office, association, shrine",N4
見,kenケン,"mi(ru), mi(seru)み(る)、 み(せる)","see, hopes, chances, idea, opinion, look at, visible",N5
月,"getsu, gatsuゲツ、 ガツ",tsukiつき,"month, moon",N5
分,"bun, fun, buブン、 フン、 ブ",wa(keru)わ(ける),"part, minute of time, understand",N5
議,giギ,,"deliberation, consultation, debate",N3
後,"go, kouゴ、 コウ","nochi, ushi(ro), atoのち、 うし(ろ)、 あと","behind, back, later",N5
前,zenゼン,maeまえ,"in front, before",N5
民,minミン,tamiたみ,"people, nation, subjects",N3
生,"sei, shouセイ、 ショウ","i(kiru), u(mu), o(u), ha(eru), namaい(きる)、 う(む)、 お(う)、 は(える)、 なま","life, genuine, birth",N5
,,,,
連,renレン,"tsura(naru), tsu(reru)つら(なる)、つ(れる)","take along, lead, join, connect",N3
五,goゴ,itsu(tsu)いつ(つ),"five, 5",N5
発,"hatsu, hotsuハツ、 ホツ",,"departure, discharge, emit, start from",N4
間,"kan, kenカン、 ケン","aida, ma, aiあいだ、 ま、 あい","interval, space",N5
上,"jou, shou, shanジョウ、 ショウ、 シャン","ue, uwa, kami, a(geru), nobo(ru), tatematsu(ru)うえ、 うわ-、 かみ、 あ(げる)、 のぼ(る)、 たてまつ(る)","above, up",N5
対,"tai, tsuiタイ、 ツイ",,"opposite, even, equal, versus, anti-, compare",N3
部,buブ,,"section, bureau, dept, class, copy, part, portion",N3
東,touトウ,higashiひがし,east,N5
者,shaシャ,monoもの,"someone, person",N4
党,touトウ,"nakama, muraなかま、 むら","party, faction, clique",N2
地,"chi, jiチ、 ジ",,"ground, earth",N4
合,"gou, ga, kaゴウ、 ガッ、 カッ","a(u), aiあ(う)、あい","fit, suit, join, 0.1",N3
市,shiシ,ichiいち,"market, city, town",N3
業,gyouギョウ,wazaわざ,"business, vocation, arts, performance",N4
内,naiナイ,uchiうち,"inside, within, between, among, house, home",N3
相,"sou, shouソウ、 ショウ",aiあい,"inter-, mutual, together, each other, minister of state",N3
方,houホウ,kataかた,"direction, person, alternative",N4
四,shiシ,"yo(tsu), yonよ(つ)、 よん","four, 4",N5
定,"tei, jouテイ、 ジョウ",sada(meru)さだ(める),"determine, fix, establish, decide",N3
今,"kon, kinコン、 キン",imaいま,now; the present,N5
回,kaiカイ,mawa(su)まわ(す),"-times, round, revolve, counter",N3
